Date,Open,High,Low,Close,Adj Close,Volume,,log return
2014-06-23,170.179993,170.619995,169.210007,170.240005,155.005493,1738500,,0.001021608
2014-06-24,169.550003,170.550003,167.949997,168.229996,153.175369,1608000,,-0.005158154
2014-06-25,167.820007,169.020004,167.399994,168.380005,153.311935,1601200,,0.00038703
2014-06-26,167,168.110001,166.369995,168.009995,152.975037,2131200,,-0.000955398
2014-06-27,167.25,167.649994,166.369995,166.779999,151.855118,3111200,,-0.003191133
2014-06-30,166.869995,167.910004,166.369995,167.440002,152.456039,1885200,,0.001715198
2014-07-01,166.350006,168.270004,166.059998,166.809998,151.882431,2947800,,-0.001637092
2014-07-02,167,167.809998,166.570007,166.889999,151.955338,1877600,,0.000208421
2014-07-03,167.830002,169.899994,167.720001,169.460007,154.295334,1801200,,0.006636832
2014-07-07,168.970001,168.970001,166.899994,167.779999,152.76564,1774000,,-0.004327109
2014-07-08,166.740005,166.779999,163.729996,164.910004,150.152466,2422200,,-0.007493215
2014-07-09,165.240005,165.330002,163.630005,164.669998,149.933945,1943800,,-0.000632501
2014-07-10,162.220001,163.779999,161.529999,163.419998,148.795807,2204100,,-0.003309275
2014-07-11,163.020004,165.139999,162.380005,164.800003,150.052322,2293300,,0.003652027
2014-07-14,167.179993,167.720001,166.460007,167,152.055435,3007700,,0.005759228
2014-07-15,169.699997,170.149994,167.149994,169.169998,154.03125,4802300,,0.005606892
2014-07-16,169.199997,170.990005,169,170.470001,155.214874,3295100,,0.003324497
2014-07-17,170.210007,171.600006,168.919998,170.139999,154.914474,3815500,,-0.00084134
2014-07-18,170.410004,171.789993,169.649994,171.470001,156.125443,2558600,,0.003381687
2014-07-21,170.169998,172.100006,170.050003,171.720001,156.353073,2227400,,0.000632738
2014-07-22,172.380005,175.380005,172.380005,175.020004,159.357742,3849500,,0.008266746
2014-07-23,175.210007,177.220001,174.630005,176.820007,160.996704,3436100,,0.004443818
2014-07-24,176.800003,177.320007,175.610001,176.259995,160.486755,2012800,,-0.001377789
2014-07-25,175.910004,176.460007,174.720001,175.399994,159.703705,2114900,,-0.002124204
2014-07-28,175,176.460007,174.669998,175.949997,160.204529,2303400,,0.001359798
2014-07-29,176.169998,177.110001,175.449997,175.539993,159.831192,3055600,,-0.001013251
2014-07-30,175.960007,177.479996,175.360001,175.759995,160.031509,2345600,,0.000543962
2014-07-31,174.440002,175.270004,172.789993,172.869995,157.400146,3797600,,-0.00720037
2014-08-01,172.380005,172.759995,169.399994,170.25,155.014603,3140000,,-0.006632518
2014-08-04,170.570007,171.889999,170.050003,171.690002,156.325729,2103900,,0.00365785
2014-08-05,171.300003,171.770004,168.889999,169.419998,154.258896,2746200,,-0.005780244
2014-08-06,168.149994,170.850006,168.020004,169.740005,154.550247,1711700,,0.000819485
2014-08-07,170.300003,171.070007,168.740005,169.100006,153.96756,1920900,,-0.001640476
2014-08-08,169.350006,172.490005,168.679993,172.259995,156.844711,2250900,,0.008040651
2014-08-11,172.75,173.410004,171.619995,172.460007,157.026855,2098000,,0.000504054
2014-08-12,171.779999,173.110001,171.380005,172.330002,156.908478,1362900,,-0.000327523
2014-08-13,172.399994,172.889999,171.270004,172.369995,156.94487,1708200,,0.000100715
2014-08-14,172.800003,173.100006,171.690002,172.729996,157.272644,1431400,,0.000906063
2014-08-15,172.839996,174.600006,171.440002,171.899994,156.516953,2446000,,-0.002091803
2014-08-18,173.25,174.630005,172.699997,174.550003,158.92981,1877700,,0.00664398
2014-08-19,174.910004,175.100006,173.630005,173.960007,158.392624,1916100,,-0.001470411
2014-08-20,173.270004,174.179993,172.600006,174.029999,158.456345,1755100,,0.000174681
2014-08-21,174.240005,175.919998,173.440002,175.149994,159.476074,2075200,,0.002785901
2014-08-22,175.350006,176.979996,174.830002,175.470001,159.767456,2682000,,0.000792784
2014-08-25,176.710007,179.860001,176.460007,177.869995,161.952682,3063500,,0.005899825
2014-08-26,178.470001,179.149994,177.809998,177.899994,161.980011,3110600,,7.32796E-05
2014-08-27,178.360001,178.360001,177.009995,177.809998,162.400146,2073700,,0.001124991
2014-08-28,177.050003,177.75,175.889999,177.649994,162.253998,1961800,,-0.000391009
2014-08-29,178.320007,179.5,177.850006,179.110001,163.587509,2560600,,0.003554733
2014-09-02,179.259995,180.220001,178.380005,179.770004,164.190308,1986300,,0.001597378
2014-09-03,180.479996,182.070007,179.429993,179.600006,164.035019,2397700,,-0.000410944
2014-09-04,179.929993,181.600006,179.550003,180.080002,164.473389,1678500,,0.001159068
2014-09-05,179.580002,179.910004,177.880005,179.75,164.172058,2562800,,-0.000796399
2014-09-08,179.580002,180.919998,179.220001,180.110001,164.500824,1746400,,0.000868835
2014-09-09,177.929993,178.639999,176.619995,177.399994,162.025696,2598500,,-0.006584182
2014-09-10,178.330002,180.179993,178.119995,179.869995,164.281616,2457800,,0.006005071
2014-09-11,178.770004,181.440002,178.5,181,165.313705,1905300,,0.002719893
2014-09-12,180.630005,183.470001,180.630005,183.169998,167.295654,3358600,,0.0051758
2014-09-15,182.910004,184.399994,182.509995,183.979996,168.035431,2308000,,0.001916205
2014-09-16,183.899994,184.559998,182.800003,184.039993,168.090256,2137600,,0.000141674
2014-09-17,183.820007,185.770004,183.460007,184.820007,168.802628,2820300,,0.001836665
2014-09-18,185.830002,188.429993,185.5,187.889999,171.606552,3566600,,0.007154662
2014-09-19,188.259995,188.580002,185.880005,186.199997,170.063019,5442900,,-0.003923981
